region,number_of_elderly,number_of_centers,ratio
서울,1361881,2079,0.0015265650963630448
부산,592331,265,0.0004473849925126323
대구,367734,174,0.0004731681052064808
인천,402485,248,0.0006161720312558232
광주,187632,153,0.0008154259401381427
대전,195124,112,0.0005739939730632828
울산,149939,52,0.00034680770179873146
세종,33526,35,0.0010439658772296127
경기,1686830,1307,0.0007748261531986033
충북,249363,88,0.0003528991871288042
충남,328173,133,0.000405274047529809
전남,323002,110,0.0003405551668410722
경북,461118,159,0.000344814125668484
경남,514171,180,0.00035007808686215286
제주,89635,33,0.0003681597590227032
